gene	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue
Hsa.750	11.24603756	12.11268621	12.83988119	11.77686565	11.67486278	11.89052177	12.20955035	11.67486278	11.9366507	11.1207522	11.24603756	12.83988119	11.74489384	11.05625705	10.51505582	11.86162025	10.90885648	10.80830408	12.44432599	12.20955035	12.20955035	12.34361427	11.74489384	11.54484053	11.48011655	11.71348498	11.45214598	11.86162025	11.45214598	11.13308813	11.59457594	12.26332742	10.82183402	11.52325043	11.45214598	11.74489384	11.82799396	11.34145471	12.34361427	11.48011655	11.82799396	11.26296974	11.59457594	10.21779377	10.52482225	11.1207522	10.05457369	11.59457594	11.56843571	9.969444316	11.82799396
Hsa.45293	10.72223615	12.03401782	11.30076954	11.49923365	10.63090326	11.21353984	10.32452555	12.26332742	11.97838427	10.80830408	11.02115226	11.64708896	11.59457594	10.7356637	10.50361691	11.18382795	10.48088888	10.64331159	10.92983537	11.26296974	11.3248409	11.56843571	10.68987049	11.64708896	11.42976375	11.26296974	10.95857482	11.13308813	10.86317875	10.41931121	11.18382795	10.83618846	10.34968751	11.21353984	11.49923365	10.89912848	11.14978768	11.22920307	11.24603756	10.70126957	12.26332742	10.7461311	11.54484053	10.55617784	10.67584737	10.9205578	11.24603756	11.18382795	11.18382795	10.39133472	10.72223615
Hsa.2555	10.7567274	11.9366507	11.45214598	13.06849583	11.74489384	11.42976375	10.98638845	12.11268621	12.54138788	12.11268621	11.3633593	11.59457594	10.87455307	11.67486278	11.89052177	11.3633593	11.89052177	11.64708896	11.19828413	12.54138788	11.19828413	11.64708896	10.92983537	10.92983537	11.9366507	11.10387059	11.10387059	10.61909998	11.61942862	12.54138788	10.86317875	11.9366507	12.15132062	10.43814862	10.64331159	11.42976375	11.54484053	10.72223615	10.95857482	10.7567274	13.06849583	11.67486278	11.28240216	11.77686565	12.65703872	11.82799396	10.87455307	10.77084103	11.49923365	12.20955035	11.34145471
Hsa.467	11.28240216	12.83988119	12.07438309	12.26332742	12.07438309	11.77686565	11.30076954	12.03401782	12.65703872	11.18382795	10.47031135	11.49923365	11.54484053	10.63090326	10.87455307	11.28240216	10.55617784	10.78710647	11.1207522	11.77686565	11.82799396	11.52325043	10.95857482	11.49923365	10.17819337	11.34145471	11.30076954	11.59457594	11.97838427	11.59457594	12.07438309	11.71348498	11.61942862	12.26332742	11.67486278	12.83988119	11.61942862	10.78710647	11.38387506	10.67584737	12.11268621	12.07438309	12.44432599	12.44432599	12.44432599	12.54138788	11.56843571	12.65703872	11.3248409	11.59457594	12.26332742
Hsa.539	11.07365614	11.97838427	10.97222513	11.3633593	11.38387506	11.54484053	11.89052177	11.59457594	12.03401782	10.7461311	11.00494963	12.65703872	12.20955035	11.24603756	11.48011655	11.77686565	11.05625705	11.54484053	11.3633593	11.71348498	12.26332742	11.86162025	11.34145471	12.03401782	11.3633593	11.9366507	11.9366507	11.56843571	12.03401782	11.04101204	11.97838427	11.97838427	10.89912848	12.11268621	11.74489384	11.26296974	11.00494963	11.67486278	11.9366507	11.26296974	11.9366507	11.28240216	11.52325043	11.28240216	10.78710647	10.89912848	10.94505769	11.48011655	10.09420563	9.649613721	11.67486278
Hsa.2357	11.97838427	12.54138788	12.65703872	12.34361427	11.22920307	12.20955035	11.48011655	12.65703872	12.34361427	13.06849583	12.34361427	11.77686565	12.11268621	11.77686565	12.11268621	12.03401782	12.15132062	12.34361427	11.64708896	12.15132062	11.89052177	11.77686565	11.71348498	11.28240216	12.15132062	11.1680032	11.56843571	11.41062428	12.26332742	12.83988119	11.89052177	12.54138788	12.34361427	11.22920307	11.22920307	12.11268621	11.52325043	11.54484053	11.82799396	11.77686565	11.54484053	12.65703872	12.26332742	12.65703872	12.83988119	12.65703872	12.20955035	13.06849583	12.26332742	12.83988119	12.20955035
Hsa.474	10.64331159	11.42976375	11.10387059	10.71246057	10.90885648	11.49923365	10.70126957	11.34145471	11.49923365	11.00494963	11.49923365	11.86162025	11.45214598	11.26296974	10.36667861	11.45214598	11.10387059	10.58717668	11.30076954	11.74489384	11.71348498	11.49923365	11.97838427	12.54138788	10.54503826	12.26332742	11.59457594	11.18382795	11.34145471	11.18382795	12.11268621	12.11268621	11.22920307	12.54138788	11.82799396	11.86162025	11.18382795	11.3633593	12.44432599	11.86162025	11.52325043	11.74489384	11.14978768	11.64708896	10.84792936	12.11268621	11.77686565	11.54484053	11.71348498	11.05625705	11.86162025
Hsa.749	11.10387059	11.52325043	11.9366507	11.52325043	11.02115226	11.3633593	11.08957051	12.15132062	12.20955035	10.68987049	11.19828413	11.56843571	11.1207522	10.16425877	10.12872777	10.80830408	9.809665714	10.30575986	11.28240216	11.1680032	11.02115226	11.45214598	11.59457594	11.74489384	10.24968733	11.08957051	10.7567274	10.71246057	11.54484053	10.89912848	11.30076954	11.18382795	10.29696948	10.59684229	11.34145471	11.21353984	10.98638845	10.64331159	11.59457594	10.51505582	11.97838427	11.05625705	11.18382795	11.1680032	10.92983537	11.54484053	9.880658867	11.45214598	11.26296974	10.58717668	11.1207522
Hsa.24464	10.55617784	10.89912848	10.9205578	11.74489384	11.13308813	11.41062428	10.82183402	10.71246057	11.1207522	11.71348498	11.18382795	12.03401782	11.26296974	11.61942862	12.26332742	11.61942862	11.97838427	11.97838427	11.52325043	11.67486278	11.77686565	10.95857482	11.04101204	11.1207522	11.19828413	11.38387506	11.82799396	10.39133472	11.02115226	11.61942862	10.56539695	11.10387059	11.14978768	10.64331159	10.52482225	10.92983537	10.52482225	11.18382795	11.42976375	11.07365614	11.49923365	11.3248409	9.925144507	11.04101204	11.00494963	11.42976375	11.48011655	10.31740058	11.30076954	11.34145471	11.24603756
Hsa.2597	10.54503826	11.10387059	10.64331159	11.89052177	11.3633593	11.45214598	11.74489384	10.51505582	11.52325043	11.48011655	11.41062428	12.07438309	11.52325043	12.11268621	12.07438309	11.97838427	12.44432599	12.15132062	11.67486278	11.97838427	11.67486278	10.97222513	10.9205578	10.84792936	12.11268621	11.41062428	11.71348498	10.65383856	11.19828413	11.74489384	10.79857266	11.45214598	11.34145471	10.95857482	11.3248409	11.18382795	11.07365614	11.59457594	11.45214598	11.52325043	11.61942862	11.86162025	10.47031135	11.13308813	11.07365614	11.3633593	11.89052177	10.34123042	11.42976375	11.21353984	10.95857482
Hsa.3835	11.77686565	10.82183402	10.83618846	11.3248409	12.34361427	11.24603756	11.86162025	11.71348498	11.30076954	11.38387506	11.89052177	11.54484053	11.1680032	11.64708896	11.77686565	11.54484053	11.61942862	11.56843571	10.98638845	11.89052177	11.9366507	10.89912848	12.03401782	10.89912848	11.59457594	10.68987049	11.97838427	10.98638845	12.34361427	11.9366507	11.74489384	10.63090326	11.97838427	11.9366507	11.64708896	10.72223615	11.3248409	12.11268621	12.03401782	11.89052177	11.48011655	11.18382795	11.24603756	11.89052177	10.89912848	11.86162025	11.9366507	10.32452555	11.52325043	11.26296974	12.07438309
Hsa.6080	11.74489384	13.06849583	11.74489384	12.44432599	11.61942862	11.86162025	12.15132062	12.83988119	13.06849583	11.67486278	11.9366507	13.06849583	12.34361427	12.03401782	11.9366507	11.71348498	11.41062428	11.89052177	11.48011655	12.83988119	12.54138788	12.26332742	11.9366507	12.83988119	11.74489384	12.83988119	11.89052177	12.15132062	12.65703872	11.56843571	12.65703872	12.83988119	11.67486278	12.65703872	12.65703872	12.65703872	11.3633593	11.52325043	11.86162025	12.15132062	12.83988119	12.34361427	12.65703872	12.15132062	11.97838427	11.45214598	12.26332742	12.15132062	12.11268621	12.03401782	12.15132062
Hsa.3002	11.89052177	10.83618846	10.67584737	10.66370916	12.26332742	11.56843571	11.82799396	11.48011655	11.13308813	11.41062428	11.56843571	10.88660755	11.64708896	12.07438309	12.03401782	11.9366507	11.9366507	12.44432599	11.34145471	12.11268621	11.97838427	11.08957051	11.67486278	11.1680032	11.77686565	11.3633593	12.54138788	11.49923365	12.44432599	11.77686565	12.54138788	11.59457594	12.03401782	11.82799396	11.97838427	10.79857266	11.10387059	11.97838427	11.67486278	11.9366507	11.38387506	11.02115226	11.07365614	11.86162025	10.97222513	11.61942862	12.07438309	10.43018679	11.08957051	11.61942862	11.77686565
Hsa.1119	12.11268621	11.22920307	10.92983537	11.61942862	11.97838427	11.14978768	11.9366507	11.3633593	10.90885648	11.82799396	12.44432599	10.84792936	11.3633593	12.83988119	11.97838427	12.07438309	12.34361427	10.7461311	12.15132062	11.00494963	10.7356637	12.07438309	12.83988119	11.08957051	11.64708896	11.21353984	11.34145471	12.44432599	10.32452555	11.86162025	10.94505769	11.61942862	11.04101204	11.3633593	12.26332742	11.04101204	11.9366507	11.9366507	11.28240216	11.28240216	11.3633593	11.42976375	11.21353984	11.05625705	11.89052177	10.60864622	11.59457594	11.97838427	11.34145471	12.07438309	10.05968441
Hsa.44472	10.59684229	11.77686565	11.59457594	11.42976375	10.48088888	11.52325043	10.2351949	12.07438309	11.77686565	11.14978768	11.42976375	11.61942862	11.48011655	10.50361691	10.66370916	10.89912848	9.996889155	10.43814862	10.78710647	11.08957051	11.1207522	11.42976375	10.56539695	11.41062428	11.04101204	11.14978768	10.89912848	10.78710647	10.88660755	9.938999736	11.26296974	10.82183402	9.574248948	11.38387506	11.59457594	10.68987049	10.97222513	11.1207522	11.30076954	10.21046004	12.20955035	10.41931121	11.38387506	10.17819337	10.39133472	11.05625705	10.98638845	11.04101204	10.65383856	9.803089775	10.57696154
Hsa.4689	11.56843571	11.64708896	11.00494963	10.64331159	11.30076954	11.9366507	12.54138788	11.04101204	11.45214598	10.92983537	11.67486278	12.54138788	12.65703872	11.82799396	11.74489384	12.44432599	11.74489384	12.07438309	11.9366507	12.44432599	12.65703872	12.11268621	12.26332742	13.06849583	11.97838427	13.06849583	12.65703872	12.20955035	12.20955035	11.52325043	12.83988119	12.15132062	11.24603756	13.06849583	12.34361427	11.3633593	11.77686565	12.03401782	12.83988119	11.82799396	11.3248409	11.45214598	11.49923365	11.48011655	10.80830408	12.15132062	12.54138788	12.20955035	12.20955035	11.08957051	11.9366507
Hsa.45293	10.11500294	11.1680032	10.89912848	10.7356637	10.17083973	10.48088888	9.94446766	11.3248409	11.22920307	9.671824379	9.906949252	10.92983537	10.9205578	9.996889155	9.708527967	10.41931121	9.197576985	9.819591448	10.14344946	10.32452555	10.57696154	10.87455307	10.04899326	11.04101204	10.55617784	10.67584737	10.33248201	10.40958153	10.30575986	9.209238738	10.52482225	10.274157	9.629040452	10.51505582	10.7356637	10.21046004	10.21046004	10.51505582	10.61909998	9.873864535	11.64708896	10.01639585	10.68987049	9.439292357	9.462797437	10.10194857	9.858818496	10.29034127	10.29034127	9.319071146	9.912367614
Hsa.5710	10.53399641	11.54484053	11.49923365	11.26296974	11.1207522	10.94505769	10.95857482	11.21353984	11.61942862	10.15649252	10.89912848	11.38387506	11.18382795	10.98638845	10.68987049	11.1207522	10.60864622	11.10387059	11.04101204	11.52325043	12.03401782	11.48011655	11.07365614	12.26332742	10.51505582	12.15132062	11.3633593	11.34145471	11.64708896	11.26296974	12.03401782	11.82799396	10.87455307	11.97838427	11.21353984	12.34361427	11.74489384	11.14978768	11.61942862	11.41062428	11.30076954	11.14978768	11.74489384	11.30076954	11.28240216	11.3248409	10.79857266	11.34145471	12.03401782	11.07365614	11.74489384
Hsa.20836	10.39133472	10.7567274	10.80830408	11.45214598	10.7356637	11.34145471	12.11268621	10.29696948	10.66370916	11.3633593	11.71348498	11.41062428	11.21353984	11.59457594	11.71348498	11.59457594	11.82799396	11.82799396	11.41062428	10.95857482	11.86162025	11.24603756	11.1680032	10.60864622	11.56843571	11.1207522	11.67486278	10.52482225	10.50361691	11.89052177	10.31740058	11.00494963	11.48011655	10.68987049	11.05625705	10.82183402	10.57696154	11.82799396	12.20955035	11.05625705	11.26296974	11.59457594	9.834733283	11.08957051	9.996889155	11.52325043	11.52325043	10.40958153	10.12872777	11.14978768	11.54484053
Hsa.909	10.20112258	11.38387506	12.20955035	11.38387506	10.66370916	10.68987049	10.0299128	11.82799396	11.74489384	10.57696154	11.38387506	11.89052177	10.78710647	11.38387506	9.996889155	10.71246057	10.89912848	9.996889155	10.70126957	11.41062428	11.13308813	11.3633593	11.42976375	11.38387506	10.09420563	10.97222513	10.61909998	11.3248409	11.77686565	10.66370916	11.45214598	11.19828413	10.86317875	11.67486278	11.18382795	11.82799396	11.24603756	10.58717668	10.63090326	12.34361427	11.24603756	11.71348498	11.13308813	12.20955035	11.77686565	10.79857266	11.82799396	11.77686565	11.59457594	11.1207522	11.97838427
Hsa.878	10.89912848	11.1207522	10.43018679	10.9205578	10.95857482	11.13308813	11.67486278	11.13308813	11.21353984	10.16425877	10.57696154	12.34361427	11.82799396	11.30076954	11.13308813	11.74489384	10.7567274	11.52325043	10.86317875	11.42976375	12.11268621	11.1680032	11.08957051	12.11268621	11.34145471	12.54138788	11.64708896	11.00494963	12.15132062	10.48088888	11.9366507	12.44432599	10.11500294	12.03401782	11.56843571	10.98638845	10.78710647	11.38387506	12.07438309	11.49923365	11.19828413	10.7356637	10.29034127	11.07365614	9.819591448	10.87455307	11.97838427	10.90885648	10.41931121	10.05968441	10.94505769
Hsa.1648	11.82799396	10.84792936	10.05457369	11.07365614	11.07365614	11.10387059	10.83618846	11.38387506	10.61909998	11.42976375	11.48011655	10.68987049	10.68987049	10.97222513	10.79857266	10.66370916	11.00494963	10.2351949	11.13308813	10.04250777	10.03698028	10.20112258	11.3248409	9.462797437	10.61909998	9.925144507	10.97222513	11.21353984	9.796862044	11.22920307	10.07217302	10.0874021	10.98638845	10.11500294	11.13308813	10.95857482	11.02115226	11.28240216	10.10194857	10.10194857	11.14978768	11.56843571	11.04101204	10.98638845	11.42976375	10.72223615	10.64331159	11.26296974	10.43814862	11.41062428	10.9205578
Hsa.1836	12.20955035	10.21779377	10.56539695	10.40126887	11.89052177	11.59457594	13.06849583	10.68987049	9.629040452	11.28240216	11.74489384	10.51505582	11.42976375	12.44432599	12.15132062	12.15132062	12.03401782	11.21353984	11.71348498	10.10194857	10.86317875	11.59457594	11.61942862	11.42976375	11.45214598	11.19828413	11.54484053	12.07438309	11.21353984	11.71348498	10.92983537	10.87455307	11.07365614	11.86162025	12.20955035	11.1207522	12.03401782	12.20955035	11.97838427	11.19828413	11.1207522	11.13308813	10.32452555	10.78710647	11.45214598	11.74489384	12.15132062	11.82799396	10.89912848	11.67486278	11.52325043
Hsa.1273	11.9366507	10.61909998	11.13308813	10.58717668	10.53399641	11.19828413	10.97222513	11.22920307	10.45759105	11.45214598	10.19499112	10.15649252	10.88660755	11.52325043	11.61942862	11.52325043	11.42976375	11.18382795	11.14978768	9.59270056	9.957108362	11.22920307	11.02115226	10.40958153	11.28240216	10.34123042	10.71246057	11.14978768	10.0299128	10.72223615	10.08023944	10.53399641	10.43814862	10.55617784	10.88660755	10.70126957	11.21353984	10.83618846	10.7356637	10.78710647	11.00494963	11.1207522	10.80830408	10.31740058	11.30076954	10.59684229	11.21353984	11.30076954	10.53399641	11.24603756	10.77084103
Hsa.19249	10.22545294	10.9205578	10.39133472	11.24603756	10.04899326	10.65383856	9.687543878	11.52325043	11.02115226	11.34145471	10.88660755	11.13308813	10.61909998	10.51505582	10.7461311	10.88660755	10.59684229	10.60864622	10.274157	10.60864622	10.47031135	10.84792936	9.932365506	10.06630906	11.21353984	10.29696948	10.20112258	10.04250777	9.037473447	9.087724169	9.538301597	9.653523236	10.07217302	9.950537319	10.33248201	9.140171321	10.08023944	10.53399641	10.54503826	9.94446766	12.07438309	10.274157	10.43018679	8.496377685	10.20112258	10.25646248	10.50361691	8.967930906	10.00192298	9.014096532	9.691163781
Hsa.2948	11.34145471	10.1081467	9.98284411	9.846233717	11.56843571	10.95857482	11.54484053	11.41062428	10.11500294	11.08957051	11.45214598	10.90885648	10.94505769	11.49923365	11.59457594	11.10387059	11.67486278	11.61942862	11.08957051	11.34145471	11.45214598	10.4489732	11.49923365	10.65383856	10.98638845	10.89912848	11.74489384	10.53399641	12.07438309	11.1207522	11.3248409	10.14933268	11.54484053	11.48011655	11.30076954	9.858818496	10.34123042	11.77686565	11.71348498	11.30076954	10.92983537	10.70126957	10.59684229	11.45214598	10.30575986	11.21353984	11.61942862	9.412047004	10.7356637	11.10387059	11.30076954
Hsa.7877	10.82183402	11.13308813	10.78710647	10.98638845	10.92983537	10.79857266	11.97838427	10.66370916	10.98638845	9.852448713	10.55617784	11.74489384	11.38387506	10.55617784	10.89912848	11.41062428	10.37831251	10.82183402	10.68987049	11.3248409	12.44432599	11.26296974	10.64331159	11.45214598	10.05457369	12.03401782	11.24603756	11.1207522	11.3633593	10.50361691	11.3633593	11.49923365	10.34123042	11.71348498	11.52325043	11.08957051	10.84792936	11.21353984	11.14978768	10.72223615	10.86317875	10.47031135	10.7461311	10.67584737	9.887494317	11.04101204	11.54484053	11.14978768	11.07365614	10.15649252	11.07365614
Hsa.1400	11.86162025	9.803089775	10.70126957	9.583951994	10.7567274	11.1680032	11.1680032	11.02115226	9.42624852	11.21353984	11.1680032	10.12113701	10.92983537	10.84792936	11.05625705	11.56843571	11.08957051	10.45759105	11.05625705	9.606129657	10.29696948	10.92983537	10.7356637	10.17819337	11.24603756	10.274157	10.70126957	10.29034127	9.815137153	10.34968751	9.574248948	9.687543878	9.624370681	10.39133472	10.61909998	9.757673622	10.83618846	10.32452555	10.39133472	10.14933268	10.98638845	10.54503826	9.868422069	9.82501082	10.21779377	10.43814862	11.02115226	10.98638845	9.731546231	10.12872777	10.19499112
HSAC07                                                                                                                                                                                                                                                                    	11.61942862	11.28240216	11.34145471	11.10387059	11.49923365	11.28240216	9.346173054	10.94505769	11.1680032	11.59457594	11.07365614	9.499967692	10.25646248	11.1680032	11.28240216	10.56539695	11.14978768	10.68987049	11.56843571	11.59457594	10.80830408	10.7461311	11.82799396	10.68987049	9.554209748	10.7356637	10.84792936	10.83618846	11.05625705	12.20955035	11.00494963	10.65383856	11.77686565	10.90885648	10.98638845	11.61942862	10.89912848	10.66370916	10.70126957	10.56539695	10.88660755	11.49923365	11.82799396	12.03401782	12.15132062	12.26332742	11.08957051	11.38387506	10.92983537	11.82799396	11.59457594
HSAC07                                                                                                                                                                                                                                                                    	11.61942862	11.28240216	11.34145471	11.10387059	11.49923365	11.28240216	9.346173054	10.94505769	11.1680032	11.59457594	11.07365614	9.499967692	10.25646248	11.1680032	11.28240216	10.56539695	11.14978768	10.68987049	11.56843571	11.59457594	10.80830408	10.7461311	11.82799396	10.68987049	9.554209748	10.7356637	10.84792936	10.83618846	11.05625705	12.20955035	11.00494963	10.65383856	11.77686565	10.90885648	10.98638845	11.61942862	10.89912848	10.66370916	10.70126957	10.56539695	10.88660755	11.49923365	11.82799396	12.03401782	12.15132062	12.26332742	11.08957051	11.38387506	10.92983537	11.82799396	11.59457594
HSAC07                                                                                                                                                                                                                                                                    	11.61942862	11.28240216	11.34145471	11.10387059	11.49923365	11.28240216	9.346173054	10.94505769	11.1680032	11.59457594	11.07365614	9.499967692	10.25646248	11.1680032	11.28240216	10.56539695	11.14978768	10.68987049	11.56843571	11.59457594	10.80830408	10.7461311	11.82799396	10.68987049	9.554209748	10.7356637	10.84792936	10.83618846	11.05625705	12.20955035	11.00494963	10.65383856	11.77686565	10.90885648	10.98638845	11.61942862	10.89912848	10.66370916	10.70126957	10.56539695	10.88660755	11.49923365	11.82799396	12.03401782	12.15132062	12.26332742	11.08957051	11.38387506	10.92983537	11.82799396	11.59457594
